ID;Name
470122;AWT 07BM P300/1998/70/2-2 (0-3101-01-0027133-02-01)
369432;AWT 12AK/11K EUH4/1997/403/1-2 (0-3101-01-0000260-03-07)
369462;AWT 12AK/11K EUH4/2014/1614/1-1 (0-3101-01-0000260-03-16)
374242;AWT 854 F4U/1900/129/2-2 (0-3101-01-0000195-03-03)
374347;AWT 05BH/06AH EH4/1971/-3290/2-1 (0-3101-01-0000040-03-06)
352709;AWT 44G F4Up/2004/64/2-1 (0-3101-01-0001308-02-04)
416573;AWT 22AH F6l/1992/69/1-2 (0-3101-01-0005912-02-02)
410363;AWT 09C F6l/1987/18/1-1 (0-3101-01-0005534-02-03)
413454;AWT 01BH P500/1997/194/2-1 (0-3101-01-0005900-02-02)
422156;AWT 71AD P500/1997/72/2-2 (0-3101-01-0006305-02-03)
353579;AWT 01AL 00566 (0-3101-01-0023606-02)
353911;AWT 01AK 16024 (0-3101-01-0625281-02)
376567;AWT 61BH/60AH EUH4/1985/468/1-2 (0-3101-01-0000712-03-08)
376283;AWT 423 FPU/1983/-45/2-2 (0-3101-01-0001265-02-03)
375228;AWT 17F F4/1977/-3561/1-2 (0-3101-01-0001970-02-03)
376902;AWT 71AO F4U/1996/247/1-2 (0-3101-01-0001526-02-03)
374982;AWT 33H F4/2013/557/2-1 (0-3101-01-0001964-02-01)
409913;AWT 70 F3/1969/-7704/1-1 (0-3101-01-0005569-02-01)
265006;@[863DF7E5-46CB-4070-BEC3-C1B731ECB761]
354407;AWT 12H TH4/1984/-95/2-2 (0-3101-01-0000015-03-14)
264239;@[E1F58FE6-CE12-449B-A012-0F91825B599E]
265346;AWT 6AC/7BC 07815 (0-3101-01-0022569-03)
264804;AWT 04G/03BG 15824 (0-3101-01-1373596-03)
368216;AWT 05BH/06AH EUH4/2016/29/1-2 (0-3101-01-0000040-03-22)
422176;AWT 16L F3sym/1976/-1315/1-2 (0-3101-01-0006317-02-02)
427949;AWT 24R F3/84/-4602/2-2 (0-3101-01-0010633-02-02)
417499;AWT 405/406 EUH4U/2004/180/1-2 (0-3101-01-0005999-03-08)
400257;AWT 23BF F4/2010/1177/2-1 (0-3101-01-0002046-02-03)
415529;AWT 264/75AD EUH4/1998/41/2-2 (0-3101-01-0005867-03-12)
400958;AWT 48F F3/1983/-4859/1-1 (0-3101-01-0002016-02-03)
454166;AWT 09C P500/96/32/2-1 (0-3101-01-0020730-02-03)
401778;AWT 26E F4/1980/170/1-2 (0-3101-01-0002000-02-01)
411646;AWT 21V EH3/2004/54/1-2 (0-3101-01-0005567-03-01)
443001;AWT 01AM P300/2014/1204/1-1 (0-3101-01-0016730-02-02)
410859;AWT 30H F4U/99/62/2-1 (0-3101-01-0005604-02-02)
454748;AWT 41AM F6l/1980/-5893/2-1 (0-3101-01-0020606-02-02)
402289;AWT 02AS P500/98/48/1-2 (0-3101-01-0002067-02-03)
401928;AWT 25AF P500/2009/187/1-1 (0-3101-01-0002096-02-03)
411381;AWT 28 F3/1979/-5271/1-1 (0-3101-01-0005674-02-01)
417816;AWT 09H F3/1972/-5658/2-1 (0-3101-01-0005932-02-02)
400843;AWT 27AD/26BD EUH4/1998/394/1-2 (0-3101-01-0002138-03-02)
427974;AWT 10F F4U/1989/10/1-2 (0-3101-01-0010650-02-01)
400467;AWT 10BE/12E EH4/2011/117/2-2 (0-3101-01-0002131-03-06)
400848;AWT 27AD/26BD EUH4/1998/-2328/1-1 (0-3101-01-0002138-03-04)
413073;AWT 08BF/09F EUH4U/1991/181/2-2 (0-3101-01-0005650-03-09)
430265;AWT 17S F215/2008/758/2-2 (0-3101-01-0010978-02-02)
402860;AWT 14AD/13BD EUH4/1998/354/1-2 (0-3101-01-0002118-03-04)
422608;AWT 22AG/23BG EUH3/1990/13/2-2 (0-3101-01-0007820-03-12)
413384;AWT 67B/68A EH4/1973/-2358/2-2 (0-3101-01-0005647-03-01)
412683;AWT 30 F3/1999/45/2-2 (0-3101-01-0005679-02-03)
424232;AWT 02D EH4/68/-7588/2-2 (0-3101-01-0009472-02-01)
412803;AWT 15BF F1/2000/17/2-1 (0-3101-01-0005631-02-03)
427989;AWT 16AK/13BK EUH4/2013/1638/2-1 (0-3101-01-0010651-03-02)
412230;AWT 78/79 EUH4/1980/142/1-1 (0-3101-01-0005644-05-11)
404869;AWT 11AD F5/2015/2225/1-1 (0-3101-01-0002144-02-04)
405365;AWT 45BG/46G EUH3/2002/28/1-1 (0-3101-01-0002860-03-02)
423977;AWT 18BV/19V EUH4/1994/114/2-2 (0-3101-01-0008913-04-06)
405185;AWT 803 F4U/1996/153/2-1 (0-3101-01-0003467-02-02)
428762;AWT 236 F1/1967/-1531/2-2 (0-3101-01-0010810-02-02)
426298;AWT 62D F5/2014/4344/2-1 (0-3101-01-0010603-02-02)
423992;AWT 18BV/19V EUH4/1994/119/1-2 (0-3101-01-0008913-04-11)
472283;AWT 30BD F4U/1986/114/1-2 (0-3101-01-0027056-02-01)
370992;AWT 07H/08H EH4/2003/-136/1-1 (0-3101-01-0000022-03-09)
424770;AWT 14BQ/15Q EH3/1970/-1969/1-1 (0-3101-01-0009071-03-03)
373757;AWT 01AF P500/2009/217/2-1 (0-3101-01-0000018-02-02)
425165;AWT 20K F215/2009/214/1-2 (0-3101-01-0008988-02-03)
374054;AWT 62 F3/1973/-7708/2-1 (0-3101-01-0000441-02-02)
